No,Tanggal Surat,No Surat Masuk,Alamat Pengirim,Perihal,Disposisi/Dintak Lanjut
1,3  Januari 2025,02/MA.00.02/I/2025,Komnas Perempuan,Permintaan Data Kekerasan terhadap Perempuan Tahun 2024,
2,7 Januari 2025,175/UN6.A.1/HM.0101/2025,UNPAD Fakultas Hukum,"Permohonan bantuan  data, wawancara dan ijin penelitian",
,,,,,
3,10 Januari 2025,B/12/FK UNJANI/I/2025,UNJANI Fakultas Kedokteran,Permohonan dan ijin penelitian,
4,13 Januari 2025,-,Institut Fundraising Indonesia (IFI),Training fundraising,
5,15 Januari 2025,-,Fakultas Hukum UNPAD,"Undangan Seminar Nasional "" Respon Polri dalam Sistem Peradilan Pidana",
6,24 Januari 2025,677/UN6.A/D1.001/2025,Fakultas Hukum UNPAD,Penangguhan Seminar Nasional,
